"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "315", "se/hig/oodp/lab/model/figure/Figure.java:104", "Method Entered", " "
"main", "316", "se/hig/oodp/lab/model/figure/Figure.java:104", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#getVertex:4, n=1"
"main", "317", "se/hig/oodp/lab/model/figure/Figure.java:106", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=106"
"main", "318", "se/hig/oodp/lab/model/figure/Figure.java:106", "Field Read", " context=se.hig.oodp.lab.model.figure.Figure:1, vertices"
"main", "319", "se/hig/oodp/lab/model/figure/Figure.java:111", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=111"
"main", "320", "se/hig/oodp/lab/model/figure/Figure.java:111", "Field Read", " context=se.hig.oodp.lab.model.figure.Figure:1, vertices"
"main", "321", "se/hig/oodp/lab/model/figure/Figure.java:111", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#getVertex:4, result=se.hig.oodp.lab.model.Vertex2D:3"
"main", "322", "se/hig/oodp/lab/model/figure/Figure.java:111", "Method Exit", " returner=se.hig.oodp.lab.model.figure.Figure:1#getVertex:4, value=se.hig.oodp.lab.model.Vertex2D:3"
"main", "323", "se/hig/oodp/lab/model/figure/Line.java:47", "Method Returned", " "
"main", "324", "se/hig/oodp/lab/model/figure/Line.java:47", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=47"
"main", "325", "se/hig/oodp/lab/model/figure/Line.java:47", "Method Call", " caller=se.hig.oodp.lab.model.figure.Line:1#updateCenterPoint:1, target=se.hig.oodp.lab.model.Vertex2D:3#getY:2"
"main", "326", "se/hig/oodp/lab/model/Vertex2D.java:45", "Method Entered", " "
"main", "327", "se/hig/oodp/lab/model/Vertex2D.java:47", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=47"
"main", "328", "se/hig/oodp/lab/model/Vertex2D.java:47", "Field Read", " context=se.hig.oodp.lab.model.Vertex2D:3, y"
"main", "329", "se/hig/oodp/lab/model/Vertex2D.java:47", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:3#getY:2, result=1.0"
"main", "330", "se/hig/oodp/lab/model/Vertex2D.java:47", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:3#getY:2, value=1.0"
"main", "331", "se/hig/oodp/lab/model/figure/Line.java:47", "Method Returned", " "
"main", "332", "se/hig/oodp/lab/model/figure/Line.java:47", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=47"
"main", "333", "se/hig/oodp/lab/model/figure/Line.java:47", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#updateCenterPoint:1, v1Y=1.0"
"main", "334", "se/hig/oodp/lab/model/figure/Line.java:49", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=49"
"main", "335", "se/hig/oodp/lab/model/figure/Line.java:49", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#updateCenterPoint:1, xMid=-1.5"
"main", "336", "se/hig/oodp/lab/model/figure/Line.java:50", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=50"
"main", "337", "se/hig/oodp/lab/model/figure/Line.java:50", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#updateCenterPoint:1, yMid=1.5"
"main", "338", "se/hig/oodp/lab/model/figure/Line.java:52", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=52"
"main", "339", "se/hig/oodp/lab/model/figure/Line.java:52", "Field Read", " context=se.hig.oodp.lab.utility.DebugLogger, log"
"main", "340", "se/hig/oodp/lab/model/figure/Line.java:54", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=54"
"main", "341", "se/hig/oodp/lab/model/figure/Line.java:54", "Field Read", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:2, position"
"main", "342", "se/hig/oodp/lab/model/figure/Line.java:59", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=59"
"main", "343", "se/hig/oodp/lab/model/figure/Line.java:59", "Field Read", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:2, position"
"main", "344", "se/hig/oodp/lab/model/figure/Line.java:59", "Method Call", " caller=se.hig.oodp.lab.model.figure.Line:1#updateCenterPoint:1, target=se.hig.oodp.lab.model.Vertex2D:4#moveTo:1"
"main", "345", "se/hig/oodp/lab/model/Vertex2D.java:59", "Method Entered", " "
"main", "346", "se/hig/oodp/lab/model/Vertex2D.java:59", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:4#moveTo:1, y=1.5"
"main", "347", "se/hig/oodp/lab/model/Vertex2D.java:59", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:4#moveTo:1, x=-1.5"
"main", "348", "se/hig/oodp/lab/model/Vertex2D.java:61", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=61"
"main", "349", "se/hig/oodp/lab/model/Vertex2D.java:61", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:5"
"main", "350", "se/hig/oodp/lab/model/Vertex2D.java:61", "Method Call", " caller=se.hig.oodp.lab.model.Vertex2D:4#moveTo:1, target=se.hig.oodp.lab.model.Vertex2D:5#se.hig.oodp.lab.model.Vertex2D:5"
"main", "351", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "352", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:5#se.hig.oodp.lab.model.Vertex2D:5, y=1.5"
"main", "353", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:5#se.hig.oodp.lab.model.Vertex2D:5, x=-1.5"
"main", "354", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "355", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "356", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:5, x=-1.5"
"main", "357", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "358", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:5, y=1.5"
"main", "359", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "360", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:5#se.hig.oodp.lab.model.Vertex2D:5, value=<void>"
"main", "361", "se/hig/oodp/lab/model/Vertex2D.java:61", "Method Returned", " "
"main", "362", "se/hig/oodp/lab/model/Vertex2D.java:61", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=61"
"main", "363", "se/hig/oodp/lab/model/Vertex2D.java:61", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:4#moveTo:1, result=se.hig.oodp.lab.model.Vertex2D:5"
"main", "364", "se/hig/oodp/lab/model/Vertex2D.java:61", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:4#moveTo:1, value=se.hig.oodp.lab.model.Vertex2D:5"
"main", "365", "se/hig/oodp/lab/model/figure/Line.java:59", "Method Returned", " "
"main", "366", "se/hig/oodp/lab/model/figure/Line.java:59", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=59"
"main", "367", "se/hig/oodp/lab/model/figure/Line.java:59", "Field Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:2, position=se.hig.oodp.lab.model.Vertex2D:5"
"main", "368", "se/hig/oodp/lab/model/figure/Line.java:60", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=60"
"main", "369", "se/hig/oodp/lab/model/figure/Line.java:60", "Method Exit", " returner=se.hig.oodp.lab.model.figure.Line:1#updateCenterPoint:1, value=<void>"
"main", "370", "se/hig/oodp/lab/model/figure/Line.java:35", "Method Returned", " "
"main", "371", "se/hig/oodp/lab/model/figure/Line.java:36", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=36"
"main", "372", "se/hig/oodp/lab/model/figure/Line.java:36", "Method Exit", " returner=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, value=<void>"
"main", "373", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Returned", " "
"main", "374", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "375", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, l=se.hig.oodp.lab.model.figure.Line:1"
"main", "376", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:80", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=80"
"main", "377", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:80", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, allFigures"
"main", "378", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:81", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=81"
"main", "379", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:81", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, movableFigures"
"main", "380", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:82", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=82"
"main", "381", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:82", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, rotatableFigures"
"main", "382", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:83", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=83"
"main", "383", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:83", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, scalableFigures"
"main", "384", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:85", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=85"
"main", "385", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:85", "Field Read", " context=se.hig.oodp.lab.utility.DebugLogger, log"
"main", "386", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:86", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=86"
"main", "387", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:86", "Method Exit", " returner=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, value=<void>"
"main", "388", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Method Returned", " "
"main", "389", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:30", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=30"
"main", "390", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:30", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "391", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:30", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "392", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:30", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "393", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:31", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=31"
"main", "394", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:31", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "395", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:30", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=30"
"main", "396", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:30", "Method Call", " caller=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, target=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1"
"main", "397", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:100", "Method Entered", " "
"main", "398", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:100", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1, b=1.0"
"main", "399", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:100", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1, a=-1.0"
"main", "400", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:100", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1, y=2.0"
"main", "401", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:100", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1, x=-2.0"
"main", "402", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=102"
"main", "403", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.figure.Rectangle"
"main", "404", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:6"
"main", "405", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1, target=se.hig.oodp.lab.model.Vertex2D:6#se.hig.oodp.lab.model.Vertex2D:6"
"main", "406", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "407", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:6#se.hig.oodp.lab.model.Vertex2D:6, y=2.0"
"main", "408", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:6#se.hig.oodp.lab.model.Vertex2D:6, x=-2.0"
"main", "409", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "410", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "411", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:6, x=-2.0"
"main", "412", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "413", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:6, y=2.0"
"main", "414", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "415", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:6#se.hig.oodp.lab.model.Vertex2D:6, value=<void>"
"main", "416", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "Method Returned", " "
"main", "417", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=102"
"main", "418", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "New Object", " object=se.hig.oodp.lab.model.figure.Rectangle:1"
"main", "419", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:102", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createRectangle:1, target=se.hig.oodp.lab.model.figure.Rectangle:1#se.hig.oodp.lab.model.figure.Rectangle:1"
"main", "420", "se/hig/oodp/lab/model/figure/Rectangle.java:31", "Method Entered", " "
"main", "421", "se/hig/oodp/lab/model/figure/Rectangle.java:31", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#se.hig.oodp.lab.model.figure.Rectangle:1, position=se.hig.oodp.lab.model.Vertex2D:6"
"main", "422", "se/hig/oodp/lab/model/figure/Rectangle.java:31", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#se.hig.oodp.lab.model.figure.Rectangle:1, height=1.0"
"main", "423", "se/hig/oodp/lab/model/figure/Rectangle.java:31", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#se.hig.oodp.lab.model.figure.Rectangle:1, width=-1.0"
"main", "424", "se/hig/oodp/lab/model/figure/Rectangle.java:33", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=33"
"main", "425", "se/hig/oodp/lab/model/figure/Rectangle.java:33", "Method Call", " caller=se.hig.oodp.lab.model.figure.Rectangle:1#se.hig.oodp.lab.model.figure.Rectangle:1, target=se.hig.oodp.lab.model.figure.Figure:2#se.hig.oodp.lab.model.figure.Figure:2"
"main", "426", "se/hig/oodp/lab/model/figure/Figure.java:36", "Method Entered", " "
"main", "427", "se/hig/oodp/lab/model/figure/Figure.java:36", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:2#se.hig.oodp.lab.model.figure.Figure:2, position=se.hig.oodp.lab.model.Vertex2D:6"
"main", "428", "se/hig/oodp/lab/model/figure/Figure.java:38", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=38"
"main", "429", "se/hig/oodp/lab/model/figure/Figure.java:38", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:2#se.hig.oodp.lab.model.figure.Figure:2, target=se.hig.oodp.lab.model.simplefigure.SimpleFigure:3#se.hig.oodp.lab.model.simplefigure.SimpleFigure:3"
"main", "430", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Method Entered", " "
"main", "431", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Variable Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:3#se.hig.oodp.lab.model.simplefigure.SimpleFigure:3, position=se.hig.oodp.lab.model.Vertex2D:6"
"main", "432", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=23"
"main", "433", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=25"
"main", "434", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Field Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:3, position=se.hig.oodp.lab.model.Vertex2D:6"
"main", "435", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=26"
"main", "436", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Method Exit", " returner=se.hig.oodp.lab.model.simplefigure.SimpleFigure:3#se.hig.oodp.lab.model.simplefigure.SimpleFigure:3, value=<void>"
"main", "437", "se/hig/oodp/lab/model/figure/Figure.java:38", "Method Returned", " "
"main", "438", "se/hig/oodp/lab/model/figure/Figure.java:40", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=40"
"main", "439", "se/hig/oodp/lab/model/figure/Figure.java:40", "Field Write", " context=se.hig.oodp.lab.model.figure.Figure:2, vertices=java.util.ArrayList (id=120)"
"main", "440", "se/hig/oodp/lab/model/figure/Figure.java:41", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=41"
"main", "441", "se/hig/oodp/lab/model/figure/Figure.java:41", "Method Exit", " returner=se.hig.oodp.lab.model.figure.Figure:2#se.hig.oodp.lab.model.figure.Figure:2, value=<void>"
"main", "442", "se/hig/oodp/lab/model/figure/Rectangle.java:33", "Method Returned", " "
"main", "443", "se/hig/oodp/lab/model/figure/Rectangle.java:35", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=35"
"main", "444", "se/hig/oodp/lab/model/figure/Rectangle.java:35", "Field Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1, width=-1.0"
"main", "445", "se/hig/oodp/lab/model/figure/Rectangle.java:36", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=36"
"main", "446", "se/hig/oodp/lab/model/figure/Rectangle.java:36", "Field Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1, height=1.0"
"main", "447", "se/hig/oodp/lab/model/figure/Rectangle.java:38", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=38"
"main", "448", "se/hig/oodp/lab/model/figure/Rectangle.java:38", "Method Call", " caller=se.hig.oodp.lab.model.figure.Rectangle:1#se.hig.oodp.lab.model.figure.Rectangle:1, target=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1"
"main", "449", "se/hig/oodp/lab/model/figure/Rectangle.java:67", "Method Entered", " "
"main", "450", "se/hig/oodp/lab/model/figure/Rectangle.java:77", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=77"
"main", "451", "se/hig/oodp/lab/model/figure/Rectangle.java:77", "Field Read", " context=se.hig.oodp.lab.model.figure.Rectangle:1, height"
"main", "452", "se/hig/oodp/lab/model/figure/Rectangle.java:77", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, halfHeight=0.5"
"main", "453", "se/hig/oodp/lab/model/figure/Rectangle.java:78", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=78"
"main", "454", "se/hig/oodp/lab/model/figure/Rectangle.java:78", "Field Read", " context=se.hig.oodp.lab.model.figure.Rectangle:1, width"
"main", "455", "se/hig/oodp/lab/model/figure/Rectangle.java:78", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, halfWidth=-0.5"
"main", "456", "se/hig/oodp/lab/model/figure/Rectangle.java:79", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=79"
"main", "457", "se/hig/oodp/lab/model/figure/Rectangle.java:79", "Field Read", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:3, position"
"main", "458", "se/hig/oodp/lab/model/figure/Rectangle.java:79", "Method Call", " caller=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, target=se.hig.oodp.lab.model.Vertex2D:6#getX:3"
"main", "459", "se/hig/oodp/lab/model/Vertex2D.java:35", "Method Entered", " "
"main", "460", "se/hig/oodp/lab/model/Vertex2D.java:37", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=37"
"main", "461", "se/hig/oodp/lab/model/Vertex2D.java:37", "Field Read", " context=se.hig.oodp.lab.model.Vertex2D:6, x"
"main", "462", "se/hig/oodp/lab/model/Vertex2D.java:37", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:6#getX:3, result=-2.0"
"main", "463", "se/hig/oodp/lab/model/Vertex2D.java:37", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:6#getX:3, value=-2.0"
"main", "464", "se/hig/oodp/lab/model/figure/Rectangle.java:79", "Method Returned", " "
"main", "465", "se/hig/oodp/lab/model/figure/Rectangle.java:79", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=79"
"main", "466", "se/hig/oodp/lab/model/figure/Rectangle.java:79", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, xCenter=-2.0"
"main", "467", "se/hig/oodp/lab/model/figure/Rectangle.java:80", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=80"
"main", "468", "se/hig/oodp/lab/model/figure/Rectangle.java:80", "Field Read", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:3, position"
"main", "469", "se/hig/oodp/lab/model/figure/Rectangle.java:80", "Method Call", " caller=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, target=se.hig.oodp.lab.model.Vertex2D:6#getY:3"
"main", "470", "se/hig/oodp/lab/model/Vertex2D.java:45", "Method Entered", " "
"main", "471", "se/hig/oodp/lab/model/Vertex2D.java:47", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=47"
"main", "472", "se/hig/oodp/lab/model/Vertex2D.java:47", "Field Read", " context=se.hig.oodp.lab.model.Vertex2D:6, y"
"main", "473", "se/hig/oodp/lab/model/Vertex2D.java:47", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:6#getY:3, result=2.0"
"main", "474", "se/hig/oodp/lab/model/Vertex2D.java:47", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:6#getY:3, value=2.0"
"main", "475", "se/hig/oodp/lab/model/figure/Rectangle.java:80", "Method Returned", " "
"main", "476", "se/hig/oodp/lab/model/figure/Rectangle.java:80", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=80"
"main", "477", "se/hig/oodp/lab/model/figure/Rectangle.java:80", "Variable Write", " context=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, yCenter=2.0"
"main", "478", "se/hig/oodp/lab/model/figure/Rectangle.java:81", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=81"
"main", "479", "se/hig/oodp/lab/model/figure/Rectangle.java:81", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:7"
"main", "480", "se/hig/oodp/lab/model/figure/Rectangle.java:81", "Method Call", " caller=se.hig.oodp.lab.model.figure.Rectangle:1#calculateVerticesFromCenter:1, target=se.hig.oodp.lab.model.Vertex2D:7#se.hig.oodp.lab.model.Vertex2D:7"
"main", "481", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "482", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:7#se.hig.oodp.lab.model.Vertex2D:7, y=1.5"
"main", "483", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:7#se.hig.oodp.lab.model.Vertex2D:7, x=-1.5"
"main", "484", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "485", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "486", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:7, x=-1.5"
"main", "487", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "488", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:7, y=1.5"
"main", "489", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "490", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:7#se.hig.oodp.lab.model.Vertex2D:7, value=<void>"
"main", "491", "se/hig/oodp/lab/model/figure/Rectangle.java:81", "Method Returned", " "
"main", "492", "se/hig/oodp/lab/model/figure/Rectangle.java:81", "Line Step", " file=se/hig/oodp/lab/model/figure/Rectangle.java, line=81"
